Item,Description,Quantity,Per-Part Unit Price,Actual Item Price,URL,Actual Total Cost (13% Tax),Theoretical Lowest Cost (with tax)
Keyboard Switches 20 Pack,Generic keyboard switches,17,0.268,5.36,https://www.aliexpress.com/item/1005011838889689.html,135.1932,125.21304
M2 Screws 3 mm,Generic M2 screws,5,0.0484,2.47,https://www.aliexpress.com/item/1005002364568213.html,,
M2 Tapping Screws 5 mm,Must be self tapping screws,4,0.645,2.58,https://www.aliexpress.com/item/1005009140378459.html ,,
Keycap set,Only need 17 key numpad keys,1,10.47,10.47,https://www.aliexpress.com/item/1005009153807344.html,,
4 mm M2 Hex Standoffs x50,Female-Female Standoffs To support PCB above case,5,0.02,5.91,https://www.aliexpress.com/item/4000239735518.html,,
PCB mounted 2u Stabilizers x5,"PCB mount only Cherry style, 2u width",3,3.62,10.85,https://www.aliexpress.com/item/1005010788206824.html,,
EC11 Rotary Encoder,Encoder for knob,1,2.57,2.57,https://www.aliexpress.com/item/1005007644083514.html,,
USB-C Cable,Cable to connect to keyboard,1,4.32,4.32,https://www.aliexpress.com/item/1005004288047764.html,,
SEEED XIAO rp2040,microcontroller,1,16.75,16.75,https://www.aliexpress.com/item/1005006593701624.html,,
3d Printed Case,0.15 cents per g of filament,1,16.58,16.58,,,
3d Printed Top plate,0.15 cents per g of filament,1,6.24,6.24,,,
3d printed knob,0.15 cents per g of filament,1,0.94,0.94,,,
PCB,"JLC PCB order ($9.60 for board, $19 shipping with coupon)",1,34.6,34.6,,,
